127.0.0.1 - - [16/Jun/2023:14:00:10 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:12 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:27 +0530] "GET /MiniProject/cover.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:30 +0530] "GET /MiniProject/student_login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:44 +0530] "GET /MiniProject/student_signup.jsp HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:44 +0530] "GET /MiniProject/student_signup.css HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:00:44 +0530] "GET /MiniProject/student_signup.js HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:06 +0530] "GET /MiniProject/clubs.jsp HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:06 +0530] "GET /MiniProject/practice.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/technical.jsp HTTP/1.1" 200 16768
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/technical.css HTTP/1.1" 200 10016
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/protinex.jpg HTTP/1.1" 200 36582
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/ISTE.png HTTP/1.1" 200 114178
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/CSI.png HTTP/1.1" 200 148769
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/Dodge.png HTTP/1.1" 200 54449
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/NIET%20CODING%20CLUB.png HTTP/1.1" 200 17041
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/gdsc.png HTTP/1.1" 200 25911
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/emergex.png HTTP/1.1" 200 414742
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/negative.jpg HTTP/1.1" 200 4868692
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:09 +0530] "GET /MiniProject/technical.js HTTP/1.1" 200 6629
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:22 +0530] "GET /MiniProject/cover.jsp HTTP/1.1" 200 1117
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:25 +0530] "GET /MiniProject/student_login.jsp HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:27 +0530] "GET /MiniProject/student_signup.jsp HTTP/1.1" 200 1646
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:02:49 +0530] "POST /MiniProject/signup HTTP/1.1" 200 2146
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:02 +0530] "POST /MiniProject/student_login HTTP/1.1" 200 11754
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:09 +0530] "GET /MiniProject/registration.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:09 +0530] "GET /MiniProject/registration.css HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:09 +0530] "GET /MiniProject/image.jpg HTTP/1.1" 200 123746
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:25 +0530] "POST /MiniProject/registration HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:25 +0530] "GET /MiniProject/success.css HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [16/Jun/2023:14:03:25 +0530] "GET /MiniProject/thn.jpg HTTP/1.1" 200 208142
